restaurant_name,restaurant_type,rating,num_ratings,cost_for_two,online_order,table booking,cuisine_type,area,local_address,cost_per_person,rating_category
Ishwaryam,Quick Bites,3.5,8,250.0,No,No,"South Indian, Fast Food",Whitefield,Whitefield,125.0,Average
Ispice Resto Cafe,Cafe,3.7,28,600.0,Yes,No,"Cafe, North Indian, Chinese, Fast Food",Indiranagar,Indiranagar,300.0,Average
Italia - The Park Bangalore,Fine Dining,3.7,82,2500.0,No,No,Italian,Brigade Road,Mg Road,1250.0,Average
Ithaa'S Biriyani,Quick Bites,3.4,12,500.0,No,No,"Biryani, Chinese, North Indian",Hsr,Hsr,250.0,Average
Ithaca - The Chancery Pavilion,Fine Dining,3.9,310,2000.0,No,Yes,"North Indian, Italian, European, Continental",Brigade Road,Residency Road,1000.0,Average
It'S Mirchi - Ramee Guestline Hotels,Casual Dining,3.1,19,1600.0,No,No,"Continental, Mughlai",Electronic City,Electronic City,800.0,Average
Ivy,Casual Dining,3.8,210,600.0,Yes,No,"North Indian, Chinese, Fast Food",Banashankari,Kumaraswamy Layout,300.0,Average
Ivy Park,Casual Dining,3.5,38,500.0,No,No,"South Indian, Kerala, North Indian, Chinese",Sarjapur Road,Sarjapur Road,250.0,Average
Iyengar Bakery,Bakery,3.7,44,200.0,No,No,Bakery,Basavanagudi,Jayanagar,100.0,Average
Iyengar'S Bakery,Bakery,3.5,11,200.0,No,No,Bakery,Brigade Road,Koramangala 6Th Block,100.0,Average
Iyengars' Bakery,Bakery,3.4,14,200.0,No,No,Bakery,Brigade Road,Richmond Road,100.0,Average
Iyengar'S Inn,Quick Bites,4.1,52,100.0,No,No,South Indian,Basavanagudi,Jayanagar,50.0,Excellent
Iyer Idly,Quick Bites,4.0,112,150.0,No,No,South Indian,Marathahalli,Thippasandra,75.0,Average
Iyer Mess,Mess,4.1,327,150.0,Yes,No,South Indian,Malleshwaram,Malleshwaram,75.0,Excellent
